epoch,train_loss,train_acc,test_loss,test_acc
1,2.3896645946440356,0.35294117647058826,1.7499896177789573,0.489870340356564
2,1.536657514135822,0.547998366013072,1.4203872904785255,0.5579416531604539
3,1.3147971256106508,0.6021241830065359,1.2953945629938688,0.6357374392220422
4,1.205067426550622,0.6290849673202614,1.6090734705051204,0.49878444084278767
5,1.099091435179991,0.660437091503268,1.1529395642118283,0.6511345218800648
6,1.03712292940788,0.680453431372549,1.123275873871638,0.6503241491085899
7,1.01425435418397,0.6848447712418301,0.8999288556448258,0.7325769854132901
8,0.9586754585403243,0.697406045751634,1.033291726483325,0.673419773095624
9,0.940140406680263,0.7026143790849673,0.9785217675146446,0.6855753646677472
10,0.9126899380699481,0.7162990196078431,1.143191096872526,0.663290113452188
11,0.892902534382016,0.7214052287581699,0.946649919911567,0.706645056726094
12,0.8581036882462845,0.733047385620915,0.9749645673544591,0.7013776337115073
13,0.836165676709094,0.7378472222222222,0.837979617838052,0.7394651539708266
14,0.8344581458303664,0.7409109477124183,0.9500007590511437,0.7070502431118314
15,0.8141816766823039,0.7435661764705882,0.8180168423940529,0.7451377633711507
16,0.8082488109083736,0.7421364379084967,0.6535635308982922,0.8030794165316045
17,0.7818710198199826,0.7512254901960784,0.7878989027299869,0.7718800648298217
18,0.7820064807249829,0.7510212418300654,0.9314343016821064,0.7224473257698542
19,0.7550467272209965,0.7638888888888888,0.8011829586042245,0.7394651539708266
20,0.7537449773620156,0.7613357843137255,0.9138552701067499,0.7179902755267423
21,0.6962988546081618,0.7731821895424836,0.6703066023367018,0.8006482982171799
22,0.6609809283727135,0.7889093137254902,0.6437811557946175,0.8059157212317666
23,0.6606940837467418,0.7886029411764706,0.6408305890266474,0.8026742301458671
24,0.6641030408977683,0.7857434640522876,0.6242025299986441,0.7994327390599676
25,0.6525949753966986,0.7899305555555556,0.6427325844616407,0.803484602917342
26,0.6457626624824175,0.7929942810457516,0.5943996719925436,0.820097244732577
27,0.6390147240333308,0.7886029411764706,0.6731282095734266,0.7982171799027553
28,0.6376298071901783,0.7942197712418301,0.6939208766557216,0.784035656401945
