epoch,train_loss,train_acc,test_loss,test_acc
1,2.353383848090577,0.3647875816993464,1.8762751529823438,0.440032414910859
2,1.5444652683594648,0.5503472222222222,1.5168223960666254,0.5243111831442464
3,1.3149413844339208,0.6060049019607843,1.3348728885913397,0.5842787682333873
4,1.204702669498967,0.6324550653594772,1.3095582562530446,0.5891410048622366
5,1.1302134554370555,0.6485906862745098,1.1813817001046005,0.6381685575364667
6,1.0715946843421538,0.6685049019607843,1.3857297054952316,0.5854943273905997
7,1.0238259313932432,0.680453431372549,1.10391821161311,0.623581847649919
8,0.9864985374064227,0.6906658496732027,1.1568045213190625,0.6499189627228525
9,0.9451079730894051,0.7081290849673203,0.8846933842610984,0.7135332252836305
10,0.9292806675231534,0.7086397058823529,0.9907545436511791,0.6880064829821718
11,0.9061242306933683,0.7161968954248366,0.906486819868053,0.7147487844408428
12,0.867606016155941,0.7270220588235294,0.9394448730899126,0.7106969205834684
13,0.8628353858305737,0.7280433006535948,0.7723244909480866,0.7548622366288493
14,0.8464093506336212,0.733047385620915,0.8188421915329063,0.7487844408427877
15,0.8447469815709232,0.7339665032679739,0.7986443579873158,0.7423014586709886
16,0.831667371435103,0.7350898692810458,0.9266263293751441,0.7224473257698542
17,0.809044178794412,0.7445874183006536,0.7897622228714802,0.7487844408427877
18,0.7903218462186701,0.7455065359477124,0.8966963989222407,0.7106969205834684
19,0.780948532173057,0.7521446078431373,0.9175712516232479,0.7082658022690438
20,0.7778275365533392,0.7509191176470589,0.8368034340574058,0.7572933549432739
21,0.7195689656765633,0.7751225490196079,0.6350342996122815,0.8095623987034035
22,0.6864083461901721,0.7787990196078431,0.6658004190889942,0.8063209076175041
23,0.6704530024450589,0.788296568627451,0.715679101011983,0.7775526742301458
24,0.6692676526658675,0.7864583333333334,0.674001126807497,0.7986223662884927
25,0.6650990220456342,0.7864583333333334,0.5854863782056322,0.8196920583468396
26,0.6619371434831931,0.7829861111111112,0.6475087116122233,0.7917341977309562
27,0.661633217841192,0.7860498366013072,0.6910881219881571,0.7779578606158833
28,0.6540573410738527,0.7902369281045751,0.9393468225691611,0.7127228525121556
29,0.654027441553041,0.7907475490196079,0.7223078726531506,0.7747163695299838
30,0.6488505027262993,0.7914624183006536,0.6449198679792102,0.796191247974068
31,0.6418602279588288,0.7924836601307189,0.6359996531955668,0.7974068071312804
32,0.6280769320095286,0.7927900326797386,0.6307148081941056,0.7970016207455429
33,0.6362956645441991,0.7967728758169934,0.7076132920369916,0.7848460291734197
34,0.6338129532493018,0.7956495098039216,0.6369912489038112,0.796191247974068
35,0.623987661857231,0.8029003267973857,0.5700411088132591,0.8196920583468396
36,0.6181340687025606,0.8029003267973857,0.6154744164818955,0.8006482982171799
37,0.6379612538160062,0.795751633986928,0.6077182752259884,0.8103727714748784
38,0.6131380570480247,0.8040236928104575,0.6529099418980944,0.7986223662884927
39,0.6077210977186565,0.8052491830065359,0.7217733470703788,0.7816045380875203
40,0.6003168885614357,0.8057598039215687,0.5926436243795395,0.8213128038897893
41,0.5896287663699755,0.8106617647058824,0.567298792576194,0.8286061588330632
42,0.5568943249633889,0.8189338235294118,0.5466942283252444,0.8379254457050244
43,0.5568002499396505,0.8183210784313726,0.5518744519364158,0.826580226904376
44,0.5531413212321163,0.8185253267973857,0.5608966298193053,0.8326580226904376
45,0.557321254529205,0.818218954248366,0.5588897647105181,0.8249594813614263
46,0.5499531794217677,0.8190359477124183,0.5497128662594399,0.8245542949756888
47,0.5543020209845375,0.816687091503268,0.5034969733147603,0.8460291734197731
48,0.5462890051159204,0.8233251633986928,0.5609741192175199,0.8192868719611021
49,0.5490140420159483,0.825265522875817,0.5459132326474018,0.8225283630470016
50,0.5397889801100189,0.8246527777777778,0.5742057399553318,0.8237439222042139
51,0.5508755213684506,0.8171977124183006,0.5420590620782268,0.8245542949756888
52,0.5175363335734099,0.8325163398692811,0.5366960688021692,0.8310372771474879
53,0.5379474757154004,0.8232230392156863,0.5192685795229417,0.843192868719611
54,0.5390319091821808,0.823937908496732,0.5794437097851942,0.8217179902755267
55,0.5262111185812482,0.829452614379085,0.5556923498479178,0.8257698541329012
56,0.5419964385188483,0.823937908496732,0.569465420665476,0.8237439222042139
57,0.5260590488225027,0.8283292483660131,0.5831950749036655,0.81645056726094
58,0.5280076458173639,0.8318014705882353,0.5648061436928531,0.8217179902755267
59,0.518849140288783,0.8287377450980392,0.5550394020793503,0.8241491085899514
60,0.5171307263031505,0.8333333333333334,0.5189302238625153,0.843192868719611
61,0.509109238101766,0.8345588235294118,0.5045698447718256,0.8472447325769854
62,0.4985433490642535,0.8370098039215687,0.5005545678497194,0.8448136142625607
63,0.5014285490014194,0.8340482026143791,0.5289690564326169,0.8399513776337115
64,0.4906935635345434,0.8386437908496732,0.5082120789845913,0.8379254457050244
65,0.489076659375546,0.8386437908496732,0.5129706972456768,0.8500810372771475
66,0.48727798656700483,0.8390522875816994,0.5320171441228508,0.8342787682333873
67,0.4941399175357195,0.8374183006535948,0.5076853747976222,0.8419773095623987
68,0.4900940419996486,0.8346609477124183,0.5133192679630456,0.836709886547812
69,0.4813308176261927,0.8370098039215687,0.5109027385324122,0.839546191247974
70,0.4951900747282053,0.8404820261437909,0.5282151445193968,0.8387358184764991
71,0.4847678394099466,0.8439542483660131,0.5236142468391076,0.8403565640194489
72,0.48678016730772905,0.8398692810457516,0.5266615209483648,0.8322528363047001
73,0.4826426782639198,0.8435457516339869,0.5091230576396414,0.8419773095623987
74,0.4808164805758233,0.8416053921568627,0.507607594417707,0.8452188006482982
75,0.46704234815890494,0.8473243464052288,0.49409840564353685,0.8452188006482982
76,0.47889364340336493,0.8468137254901961,0.5210707360030283,0.8411669367909238
77,0.4793276794595656,0.842422385620915,0.5306959707543519,0.8290113452188006
78,0.4761279535059835,0.8414011437908496,0.4955765539070824,0.8476499189627229
79,0.47345976619159474,0.8411968954248366,0.5062795338874481,0.8440032414910859
80,0.48096777303935656,0.842422385620915,0.5199222811901523,0.8407617504051864
81,0.4716879659228855,0.8422181372549019,0.4923714240877082,0.846839546191248
82,0.45411486407510593,0.8533496732026143,0.5022158838949669,0.843192868719611
83,0.4678220670986799,0.8451797385620915,0.48936855190960354,0.8480551053484603
84,0.4600483270642025,0.8488562091503268,0.4920226136245878,0.8521069692058347
85,0.44924125211690763,0.8533496732026143,0.49424060582924056,0.8472447325769854
86,0.45558587057528155,0.8521241830065359,0.4937660525465381,0.8500810372771475
87,0.4471089273106818,0.8526348039215687,0.4976311327483523,0.8415721231766613
88,0.459005502119563,0.8473243464052288,0.4978918735589983,0.8411669367909238
89,0.4514812007059459,0.8508986928104575,0.4957359026746924,0.8460291734197731
90,0.45299408482570275,0.8500816993464052,0.4953353664116267,0.8435980551053485
91,0.4429882722937204,0.8531454248366013,0.5002694635956157,0.8435980551053485
92,0.4505212864065482,0.8517156862745098,0.5002994964467558,0.8456239870340356
93,0.45023247502208535,0.8506944444444444,0.49125162486818647,0.8460291734197731
94,0.4579526419733085,0.8493668300653595,0.4897913643599728,0.8448136142625607
95,0.4594801768563152,0.8485498366013072,0.4978307501855948,0.8476499189627229
96,0.44272639295634103,0.8548815359477124,0.4868331579436779,0.8460291734197731
97,0.45705799651301765,0.8475285947712419,0.48988892758741365,0.8448136142625607
98,0.4426294681098726,0.8515114379084967,0.49414340543486723,0.8435980551053485
99,0.44087065746581633,0.8562091503267973,0.4996714154949881,0.8407617504051864
100,0.44089141010848526,0.8547794117647058,0.49163163830831835,0.8452188006482982
