epoch,train_loss,train_acc,test_loss,test_acc
1,2.4789980540867727,0.335375816993464,1.8875436786701072,0.4485413290113452
2,1.602650068164651,0.5337009803921569,1.6776413809345065,0.5251215559157212
3,1.3949361599348729,0.583843954248366,1.664054708359114,0.4675850891410049
4,1.2647833531978083,0.6160130718954249,1.299955669059939,0.593192868719611
5,1.1765469168525895,0.6439950980392157,1.0962825291933465,0.6596434359805511
6,1.112595858527165,0.6553308823529411,1.3539515008947645,0.5757698541329012
7,1.0596194080277985,0.6717728758169934,0.9597426971218381,0.7171799027552674
8,1.023854921456256,0.6866830065359477,1.3043945743257068,0.596839546191248
9,0.9831310732691896,0.6959763071895425,1.2060672955970904,0.6304700162074555
10,0.9609267766179602,0.6995506535947712,0.9382158082395164,0.7135332252836305
11,0.921636466886483,0.7111928104575164,1.5210698752194596,0.5741491085899514
12,0.9159510817403108,0.7104779411764706,0.9559564874952771,0.7167747163695299
13,0.8991694958770976,0.7185457516339869,0.9287399567106688,0.7248784440842788
14,0.8750810595898847,0.7185457516339869,0.8787477217385217,0.7248784440842788
15,0.8747550023147483,0.7268178104575164,0.9752699408417559,0.692868719611021
16,0.8476560530709285,0.7378472222222222,0.9663486390931583,0.7139384116693679
17,0.8357973478588403,0.7349877450980392,0.9645731198198405,0.6948946515397083
18,0.8279901865650626,0.7364174836601307,0.9751182818993612,0.6993517017828201
19,0.8126815238030128,0.7418300653594772,0.7149471686322791,0.7884927066450568
20,0.7971448317851896,0.7470383986928104,0.7104640423321743,0.7682333873581848
21,0.7337864688019348,0.7652165032679739,0.6368186146842023,0.8091572123176661
22,0.7286834399295009,0.7706290849673203,0.9066880192332923,0.7248784440842788
23,0.7116539984746696,0.7751225490196079,0.7469636574327173,0.7585089141004863
24,0.7068612470346338,0.7753267973856209,0.7306622932249955,0.779578606158833
25,0.7002785073386298,0.7786968954248366,0.7355319675015862,0.7848460291734197
26,0.6794179494864021,0.7815563725490197,0.6587918175556479,0.7941653160453809
27,0.675456037123998,0.7873774509803921,0.6366298904422085,0.8128038897893031
28,0.6757671525275785,0.7818627450980392,0.6836217317120376,0.7811993517017828
29,0.6647869243341333,0.7874795751633987,0.6825700794351159,0.793354943273906
30,0.6739041947461422,0.7863562091503268,0.656640038298778,0.7978119935170178
31,0.6544630215838064,0.7860498366013072,0.5914932489183821,0.8213128038897893
32,0.6556409223406923,0.7935049019607843,0.6280426576045286,0.8213128038897893
33,0.6485160643758338,0.7942197712418301,0.6688653836773959,0.8059157212317666
34,0.6502554249140172,0.7895220588235294,0.6200997377225052,0.8111831442463533
35,0.6569249548164069,0.7913602941176471,0.7325895405517864,0.7852512155591572
36,0.6437775346578336,0.7910539215686274,0.605196075704148,0.813614262560778
37,0.6391865591597713,0.7920751633986928,0.6677598468657444,0.7836304700162074
38,0.6319337771608938,0.7996323529411765,0.5850243841232264,0.8257698541329012
39,0.6280227050282596,0.7998366013071896,0.5851897503954254,0.8221231766612642
40,0.6249315384166693,0.7988153594771242,0.6853967660847852,0.7893030794165316
41,0.5917052013032577,0.8099468954248366,0.5622428150593214,0.8354943273905997
42,0.583368152574776,0.8137254901960784,0.5652772428624852,0.8273905996758509
43,0.5696413144956227,0.8172998366013072,0.6088480448797103,0.8103727714748784
44,0.5580269053480984,0.818218954248366,0.618978066395929,0.8115883306320908
45,0.5706924342252071,0.8186274509803921,0.5835629595727381,0.8176661264181524
46,0.5672312069172952,0.815359477124183,0.5699389390058731,0.8294165316045381
47,0.5662831837445302,0.8147467320261438,0.5546888631460599,0.8354943273905997
48,0.5513969530272328,0.8217933006535948,0.5542706228755686,0.8322528363047001
49,0.5622234697045844,0.8212826797385621,0.5382640480789895,0.8415721231766613
50,0.5517241481472465,0.8228145424836601,0.5536345714639805,0.8346839546191248
51,0.5513879586668575,0.8242442810457516,0.5433523870481561,0.8273905996758509
52,0.5591078936274535,0.8169934640522876,0.5547310363145084,0.8261750405186385
53,0.5587225301203385,0.8209763071895425,0.5338565520072398,0.8391410048622366
54,0.5495262112882402,0.8247549019607843,0.5550101732916684,0.8310372771474879
55,0.5420788828453986,0.8231209150326797,0.5560283848919227,0.8338735818476499
56,0.5352361500263214,0.8266952614379085,0.5713760731062539,0.8249594813614263
57,0.5401258156969656,0.8278186274509803,0.5411309777154109,0.8358995137763371
58,0.5372746730941573,0.8263888888888888,0.5333410701495588,0.8452188006482982
59,0.5436217140138538,0.823937908496732,0.5695282425052174,0.8298217179902755
60,0.5294858762641358,0.8261846405228758,0.5810213866907759,0.8188816855753647
61,0.5237828678165386,0.8290441176470589,0.5114076686143797,0.8492706645056726
62,0.505007215185103,0.8359885620915033,0.521999599665669,0.8427876823338736
63,0.5022906135110294,0.8377246732026143,0.5207910700361554,0.8444084278768234
64,0.508273618478401,0.836703431372549,0.5160431335627357,0.8525121555915721
65,0.5061103519466188,0.8320057189542484,0.5481069569583119,0.8423824959481362
66,0.5145299678144891,0.8279207516339869,0.5172924441519394,0.8480551053484603
67,0.5094361434769786,0.8346609477124183,0.512824239049294,0.8496758508914101
68,0.5005105485518774,0.839562908496732,0.5079375956044495,0.8549432739059968
69,0.49920861111357323,0.8389501633986928,0.5104084999294501,0.8508914100486223
70,0.5012986547027538,0.8369076797385621,0.5254704029257055,0.8411669367909238
71,0.4866008246256635,0.8419117647058824,0.5120966940600503,0.8460291734197731
72,0.4881033997714909,0.8423202614379085,0.5081982313805505,0.8541329011345219
73,0.48324578007062274,0.8435457516339869,0.5170000739900525,0.8480551053484603
74,0.48458824360292724,0.8411968954248366,0.5240729229941337,0.8496758508914101
75,0.4891822419914545,0.8401756535947712,0.5378331677034207,0.8427876823338736
76,0.48426253265804714,0.8436478758169934,0.5297757990241678,0.8488654781199352
77,0.47589198017821593,0.8433415032679739,0.5132659985329141,0.846839546191248
78,0.4807667231637668,0.8394607843137255,0.5070159320275766,0.8500810372771475
79,0.477165976283597,0.8443627450980392,0.5097717798995745,0.8480551053484603
80,0.4751773040279064,0.8416053921568627,0.5150345094061216,0.8488654781199352
81,0.47964200416421576,0.8422181372549019,0.5089291354378677,0.8525121555915721
82,0.46353890284214144,0.8519199346405228,0.498908628220368,0.8553484602917342
83,0.473790759354635,0.8451797385620915,0.49438485135601656,0.8545380875202593
84,0.46879788142403744,0.8436478758169934,0.4984785077262842,0.8553484602917342
85,0.4661962160098007,0.8467116013071896,0.5027002440640972,0.8517017828200972
86,0.47480421839586273,0.8488562091503268,0.4952058749072664,0.8549432739059968
87,0.4683663227589302,0.8487540849673203,0.48437481623548995,0.8561588330632091
88,0.4706520099265903,0.8456903594771242,0.4903583905506408,0.8541329011345219
89,0.46098500646017737,0.8512050653594772,0.4941256853232592,0.853322528363047
90,0.470415147593598,0.8442606209150327,0.4965276161308372,0.8537277147487844
91,0.4716460141870711,0.8486519607843137,0.4920822348376975,0.8557536466774717
92,0.4651247777190863,0.8504901960784313,0.49987526361229023,0.8545380875202593
93,0.4556831482773513,0.8508986928104575,0.49452060912630097,0.8565640194489466
94,0.4630556044235728,0.8506944444444444,0.49536919351244524,0.8545380875202593
95,0.4633278277964374,0.8527369281045751,0.49369393659127664,0.853322528363047
96,0.46017712958497936,0.8467116013071896,0.49749836637117756,0.8517017828200972
97,0.47026733722951675,0.8475285947712419,0.5069600145862327,0.8557536466774717
98,0.4545319137814777,0.8538602941176471,0.49181214537538703,0.853322528363047
99,0.4514138682021035,0.8533496732026143,0.501990564343915,0.8517017828200972
100,0.45921050469859753,0.8486519607843137,0.5010904456651807,0.8517017828200972
